1; matematica; Domanda 1; A; B; C; D; 1
1; matematica; Domanda 67; A; B; C; D; 3
1; matematica; Domanda 68; A; B; C; D; 4
1; matematica; Domanda 69; A; B; C; D; 1
1; matematica; Domanda 70; A; B; C; D; 2
1; matematica; Domanda 71; A; B; C; D; 3
1; matematica; Domanda 72; A; B; C; D; 4
1; matematica; Domanda 73; A; B; C; D; 1
1; matematica; Domanda 74; A; B; C; D; 2
1; matematica; Domanda 75; A; B; C; D; 3
1; matematica; Domanda 76; A; B; C; D; 4
1; matematica; Domanda 77; A; B; C; D; 1
1; matematica; Domanda 78; A; B; C; D; 2
1; matematica; Domanda 79; A; B; C; D; 3
1; matematica; Domanda 80; A; B; C; D; 4
1; matematica; Domanda 81; A; B; C; D; 1
1; matematica; Domanda 82; A; B; C; D; 2
1; matematica; Domanda 83; A; B; C; D; 3
1; matematica; Domanda 84; A; B; C; D; 4
1; matematica; Domanda 85; A; B; C; D; 1
1; matematica; Domanda 86; A; B; C; D; 2
1; matematica; Domanda 87; A; B; C; D; 3
1; matematica; Domanda 88; A; B; C; D; 4
1; matematica; Domanda 89; A; B; C; D; 1
1; matematica; Domanda 90; A; B; C; D; 2
1; matematica; Domanda 91; A; B; C; D; 3
1; matematica; Domanda 92; A; B; C; D; 4
1; matematica; Domanda 93; A; B; C; D; 1
1; matematica; Domanda 94; A; B; C; D; 2
1; matematica; Domanda 95; A; B; C; D; 3
1; matematica; Domanda 96; A; B; C; D; 4
1; matematica; Domanda 97; A; B; C; D; 1
1; matematica; Domanda 98; A; B; C; D; 2
1; matematica; Domanda 99; A; B; C; D; 3
1; matematica; Domanda 100; A; B; C; D; 4
1; matematica; Domanda 101; A; B; C; D; 1
1; matematica; Domanda 102; A; B; C; D; 2
1; matematica; Domanda 103; A; B; C; D; 3
1; matematica; Domanda 104; A; B; C; D; 4
1; matematica; Domanda 105; A; B; C; D; 1
1; matematica; Domanda 106; A; B; C; D; 2
1; matematica; Domanda 107; A; B; C; D; 3
1; matematica; Domanda 108; A; B; C; D; 4
1; matematica; Domanda 109; A; B; C; D; 1
1; matematica; Domanda 110; A; B; C; D; 2
1; matematica; Domanda 111; A; B; C; D; 3
1; matematica; Domanda 112; A; B; C; D; 4
1; matematica; Domanda 113; A; B; C; D; 1
1; matematica; Domanda 114; A; B; C; D; 2
1; matematica; Domanda 115; A; B; C; D; 3
1; matematica; Domanda 116; A; B; C; D; 4
1; matematica; Domanda 117; A; B; C; D; 1
1; matematica; Domanda 118; A; B; C; D; 2
1; matematica; Domanda 119; A; B; C; D; 3
1; matematica; Domanda 120; A; B; C; D; 4
1; matematica; Domanda 121; A; B; C; D; 1
1; matematica; Domanda 122; A; B; C; D; 2
1; matematica; Domanda 123; A; B; C; D; 3
1; matematica; Domanda 124; A; B; C; D; 4
1; matematica; Domanda 125; A; B; C; D; 1
1; matematica; Domanda 126; A; B; C; D; 2
1; matematica; Domanda 127; A; B; C; D; 3
1; matematica; Domanda 128; A; B; C; D; 4
1; matematica; Domanda 129; A; B; C; D; 1
1; matematica; Domanda 130; A; B; C; D; 2
1; matematica; Domanda 131; A; B; C; D; 3
1; matematica; Domanda 132; A; B; C; D; 4
1; matematica; Domanda 133; A; B; C; D; 1
1; matematica; Domanda 134; A; B; C; D; 2
1; matematica; Domanda 135; A; B; C; D; 3
1; matematica; Domanda 136; A; B; C; D; 4
1; matematica; Domanda 137; A; B; C; D; 1
1; matematica; Domanda 138; A; B; C; D; 2
1; matematica; Domanda 139; A; B; C; D; 3
1; matematica; Domanda 140; A; B; C; D; 4
1; matematica; Domanda 141; A; B; C; D; 1
1; matematica; Domanda 142; A; B; C; D; 2
1; matematica; Domanda 143; A; B; C; D; 3
1; matematica; Domanda 144; A; B; C; D; 4
1; matematica; Domanda 145; A; B; C; D; 1
1; matematica; Domanda 146; A; B; C; D; 2
1; matematica; Domanda 147; A; B; C; D; 3
1; matematica; Domanda 148; A; B; C; D; 4
1; matematica; Domanda 149; A; B; C; D; 1
1; matematica; Domanda 150; A; B; C; D; 2
1; matematica; Domanda 151; A; B; C; D; 3
1; matematica; Domanda 152; A; B; C; D; 4
1; matematica; Domanda 153; A; B; C; D; 1
1; matematica; Domanda 154; A; B; C; D; 2
1; matematica; Domanda 155; A; B; C; D; 3
1; matematica; Domanda 156; A; B; C; D; 4
1; matematica; Domanda 157; A; B; C; D; 1
1; matematica; Domanda 158; A; B; C; D; 2
1; matematica; Domanda 159; A; B; C; D; 3
1; matematica; Domanda 160; A; B; C; D; 4
1; matematica; Domanda 161; A; B; C; D; 1
1; matematica; Domanda 162; A; B; C; D; 2
1; matematica; Domanda 163; A; B; C; D; 3
1; matematica; Domanda 164; A; B; C; D; 4
1; matematica; Domanda 165; A; B; C; D; 1
1; matematica; Domanda 166; A; B; C; D; 2
1; matematica; Domanda 167; A; B; C; D; 3
1; matematica; Domanda 168; A; B; C; D; 4
1; matematica; Domanda 169; A; B; C; D; 1
1; matematica; Domanda 170; A; B; C; D; 2
1; matematica; Domanda 171; A; B; C; D; 3
1; matematica; Domanda 172; A; B; C; D; 4
1; matematica; Domanda 173; A; B; C; D; 1
1; matematica; Domanda 174; A; B; C; D; 2
1; matematica; Domanda 175; A; B; C; D; 3
1; matematica; Domanda 176; A; B; C; D; 4
1; matematica; Domanda 177; A; B; C; D; 1
1; matematica; Domanda 178; A; B; C; D; 2
1; matematica; Domanda 179; A; B; C; D; 3
1; matematica; Domanda 180; A; B; C; D; 4
1; matematica; Domanda 181; A; B; C; D; 1
1; matematica; Domanda 182; A; B; C; D; 2
1; matematica; Domanda 183; A; B; C; D; 3
1; matematica; Domanda 184; A; B; C; D; 4
1; matematica; Domanda 185; A; B; C; D; 1
1; matematica; Domanda 186; A; B; C; D; 2
1; matematica; Domanda 187; A; B; C; D; 3
1; matematica; Domanda 188; A; B; C; D; 4
1; matematica; Domanda 189; A; B; C; D; 1
1; matematica; Domanda 190; A; B; C; D; 2
1; matematica; Domanda 191; A; B; C; D; 3
1; matematica; Domanda 192; A; B; C; D; 4
1; matematica; Domanda 193; A; B; C; D; 1
1; matematica; Domanda 194; A; B; C; D; 2
1; matematica; Domanda 195; A; B; C; D; 3
1; matematica; Domanda 196; A; B; C; D; 4
1; matematica; Domanda 197; A; B; C; D; 1
1; matematica; Domanda 198; A; B; C; D; 2
1; matematica; Domanda 199; A; B; C; D; 3
1; matematica; Domanda 200; A; B; C; D; 4
1; matematica; Domanda 201; A; B; C; D; 1
1; matematica; Domanda 202; A; B; C; D; 2
1; matematica; Domanda 203; A; B; C; D; 3
1; matematica; Domanda 204; A; B; C; D; 4
1; matematica; Domanda 205; A; B; C; D; 1
1; matematica; Domanda 206; A; B; C; D; 2
1; matematica; Domanda 207; A; B; C; D; 3
1; matematica; Domanda 208; A; B; C; D; 4
1; matematica; Domanda 209; A; B; C; D; 1
1; matematica; Domanda 210; A; B; C; D; 2
1; matematica; Domanda 211; A; B; C; D; 3
1; matematica; Domanda 212; A; B; C; D; 4
1; matematica; Domanda 213; A; B; C; D; 1
1; matematica; Domanda 214; A; B; C; D; 2
1; matematica; Domanda 215; A; B; C; D; 3
1; matematica; Domanda 216; A; B; C; D; 4
1; matematica; Domanda 217; A; B; C; D; 1
1; matematica; Domanda 218; A; B; C; D; 2
1; matematica; Domanda 219; A; B; C; D; 3
1; matematica; Domanda 220; A; B; C; D; 4
1; matematica; Domanda 221; A; B; C; D; 1
1; matematica; Domanda 222; A; B; C; D; 2
1; matematica; Domanda 223; A; B; C; D; 3
1; matematica; Domanda 224; A; B; C; D; 4
1; matematica; Domanda 225; A; B; C; D; 1
1; matematica; Domanda 226; A; B; C; D; 2
1; matematica; Domanda 227; A; B; C; D; 3
1; matematica; Domanda 228; A; B; C; D; 4
1; matematica; Domanda 229; A; B; C; D; 1
1; matematica; Domanda 230; A; B; C; D; 2
1; matematica; Domanda 231; A; B; C; D; 3
1; matematica; Domanda 232; A; B; C; D; 4
1; matematica; Domanda 233; A; B; C; D; 1
1; matematica; Domanda 234; A; B; C; D; 2
1; matematica; Domanda 235; A; B; C; D; 3
1; matematica; Domanda 236; A; B; C; D; 4
1; matematica; Domanda 237; A; B; C; D; 1
1; matematica; Domanda 238; A; B; C; D; 2
1; matematica; Domanda 239; A; B; C; D; 3
1; matematica; Domanda 240; A; B; C; D; 4
1; matematica; Domanda 241; A; B; C; D; 1
1; matematica; Domanda 242; A; B; C; D; 2
1; matematica; Domanda 243; A; B; C; D; 3
1; matematica; Domanda 244; A; B; C; D; 4
1; matematica; Domanda 245; A; B; C; D; 1
1; matematica; Domanda 246; A; B; C; D; 2
1; matematica; Domanda 247; A; B; C; D; 3
1; matematica; Domanda 248; A; B; C; D; 4
1; matematica; Domanda 249; A; B; C; D; 1
1; matematica; Domanda 250; A; B; C; D; 2
1; matematica; Domanda 251; A; B; C; D; 3
1; matematica; Domanda 252; A; B; C; D; 4
1; matematica; Domanda 253; A; B; C; D; 1
1; matematica; Domanda 254; A; B; C; D; 2
1; matematica; Domanda 255; A; B; C; D; 3
1; matematica; Domanda 256; A; B; C; D; 4
1; matematica; Domanda 257; A; B; C; D; 1
1; matematica; Domanda 258; A; B; C; D; 2
1; matematica; Domanda 259; A; B; C; D; 3
1; matematica; Domanda 260; A; B; C; D; 4
1; matematica; Domanda 261; A; B; C; D; 1
1; matematica; Domanda 262; A; B; C; D; 2
1; matematica; Domanda 263; A; B; C; D; 3
1; matematica; Domanda 264; A; B; C; D; 4
1; matematica; Domanda 265; A; B; C; D; 1
1; matematica; Domanda 266; A; B; C; D; 2
1; matematica; Domanda 267; A; B; C; D; 3
1; matematica; Domanda 268; A; B; C; D; 4
1; matematica; Domanda 269; A; B; C; D; 1
1; matematica; Domanda 270; A; B; C; D; 2
1; matematica; Domanda 271; A; B; C; D; 3
1; matematica; Domanda 272; A; B; C; D; 4
1; matematica; Domanda 273; A; B; C; D; 1
1; matematica; Domanda 274; A; B; C; D; 2
1; matematica; Domanda 275; A; B; C; D; 3
1; matematica; Domanda 276; A; B; C; D; 4
1; matematica; Domanda 277; A; B; C; D; 1
1; matematica; Domanda 278; A; B; C; D; 2
1; matematica; Domanda 279; A; B; C; D; 3
1; matematica; Domanda 280; A; B; C; D; 4
1; matematica; Domanda 281; A; B; C; D; 1
1; matematica; Domanda 282; A; B; C; D; 2
1; matematica; Domanda 283; A; B; C; D; 3
1; matematica; Domanda 284; A; B; C; D; 4
1; matematica; Domanda 285; A; B; C; D; 1
1; matematica; Domanda 286; A; B; C; D; 2
1; matematica; Domanda 287; A; B; C; D; 3
1; matematica; Domanda 288; A; B; C; D; 4
1; matematica; Domanda 289; A; B; C; D; 1
1; matematica; Domanda 290; A; B; C; D; 2
1; matematica; Domanda 291; A; B; C; D; 3
1; matematica; Domanda 292; A; B; C; D; 4
1; matematica; Domanda 293; A; B; C; D; 1
1; matematica; Domanda 294; A; B; C; D; 2
1; matematica; Domanda 295; A; B; C; D; 3
1; matematica; Domanda 296; A; B; C; D; 4
1; matematica; Domanda 297; A; B; C; D; 1
1; matematica; Domanda 298; A; B; C; D; 2
1; matematica; Domanda 299; A; B; C; D; 3
1; matematica; Domanda 300; A; B; C; D; 4
1; matematica; Domanda 301; A; B; C; D; 1
1; matematica; Domanda 302; A; B; C; D; 2
1; matematica; Domanda 303; A; B; C; D; 3
1; matematica; Domanda 304; A; B; C; D; 4
1; matematica; Domanda 305; A; B; C; D; 1
1; matematica; Domanda 306; A; B; C; D; 2
1; matematica; Domanda 307; A; B; C; D; 3
1; matematica; Domanda 308; A; B; C; D; 4
1; matematica; Domanda 309; A; B; C; D; 1
1; matematica; Domanda 310; A; B; C; D; 2
1; matematica; Domanda 311; A; B; C; D; 3
1; matematica; Domanda 312; A; B; C; D; 4
1; matematica; Domanda 313; A; B; C; D; 1
1; matematica; Domanda 314; A; B; C; D; 2
1; matematica; Domanda 315; A; B; C; D; 3
1; matematica; Domanda 316; A; B; C; D; 4
1; matematica; Domanda 317; A; B; C; D; 1
1; matematica; Domanda 318; A; B; C; D; 2
1; matematica; Domanda 319; A; B; C; D; 3
1; matematica; Domanda 320; A; B; C; D; 4
1; matematica; Domanda 321; A; B; C; D; 1
1; matematica; Domanda 322; A; B; C; D; 2
1; matematica; Domanda 323; A; B; C; D; 3
1; matematica; Domanda 324; A; B; C; D; 4
1; matematica; Domanda 325; A; B; C; D; 1
1; matematica; Domanda 326; A; B; C; D; 2
1; matematica; Domanda 327; A; B; C; D; 3
1; matematica; Domanda 328; A; B; C; D; 4
1; matematica; Domanda 329; A; B; C; D; 1
1; matematica; Domanda 330; A; B; C; D; 2
1; matematica; Domanda 331; A; B; C; D; 3
1; matematica; Domanda 332; A; B; C; D; 4
1; matematica; Domanda 333; A; B; C; D; 1
1; matematica; Domanda 334; A; B; C; D; 2
1; matematica; Domanda 335; A; B; C; D; 3
1; matematica; Domanda 336; A; B; C; D; 4
1; matematica; Domanda 337; A; B; C; D; 1
1; matematica; Domanda 338; A; B; C; D; 2
1; matematica; Domanda 339; A; B; C; D; 3
1; matematica; Domanda 340; A; B; C; D; 4
1; matematica; Domanda 341; A; B; C; D; 1
1; matematica; Domanda 342; A; B; C; D; 2
1; matematica; Domanda 343; A; B; C; D; 3
1; matematica; Domanda 344; A; B; C; D; 4
1; matematica; Domanda 345; A; B; C; D; 1
1; matematica; Domanda 346; A; B; C; D; 2
1; matematica; Domanda 347; A; B; C; D; 3
1; matematica; Domanda 348; A; B; C; D; 4
1; matematica; Domanda 349; A; B; C; D; 1
1; matematica; Domanda 350; A; B; C; D; 2
1; matematica; Domanda 351; A; B; C; D; 3
1; matematica; Domanda 352; A; B; C; D; 4
1; matematica; Domanda 353; A; B; C; D; 1
1; matematica; Domanda 354; A; B; C; D; 2
1; matematica; Domanda 355; A; B; C; D; 3
1; matematica; Domanda 356; A; B; C; D; 4
1; matematica; Domanda 357; A; B; C; D; 1
1; matematica; Domanda 358; A; B; C; D; 2
1; matematica; Domanda 359; A; B; C; D; 3
1; matematica; Domanda 360; A; B; C; D; 4
1; matematica; Domanda 361; A; B; C; D; 1
1; matematica; Domanda 362; A; B; C; D; 2
1; matematica; Domanda 363; A; B; C; D; 3
1; matematica; Domanda 364; A; B; C; D; 4
1; matematica; Domanda 365; A; B; C; D; 1
1; matematica; Domanda 366; A; B; C; D; 2
1; matematica; Domanda 367; A; B; C; D; 3
1; matematica; Domanda 368; A; B; C; D; 4
1; matematica; Domanda 369; A; B; C; D; 1
1; matematica; Domanda 370; A; B; C; D; 2
1; matematica; Domanda 371; A; B; C; D; 3
1; matematica; Domanda 372; A; B; C; D; 4
1; matematica; Domanda 373; A; B; C; D; 1
1; matematica; Domanda 374; A; B; C; D; 2
1; matematica; Domanda 375; A; B; C; D; 3
1; matematica; Domanda 376; A; B; C; D; 4
1; matematica; Domanda 377; A; B; C; D; 1
1; matematica; Domanda 378; A; B; C; D; 2
1; matematica; Domanda 379; A; B; C; D; 3
1; matematica; Domanda 380; A; B; C; D; 4
1; matematica; Domanda 381; A; B; C; D; 1
1; matematica; Domanda 382; A; B; C; D; 2
1; matematica; Domanda 383; A; B; C; D; 3
1; matematica; Domanda 384; A; B; C; D; 4
1; matematica; Domanda 385; A; B; C; D; 1
1; matematica; Domanda 386; A; B; C; D; 2
1; matematica; Domanda 387; A; B; C; D; 3
1; matematica; Domanda 388; A; B; C; D; 4
1; matematica; Domanda 389; A; B; C; D; 1
1; matematica; Domanda 390; A; B; C; D; 2
1; matematica; Domanda 391; A; B; C; D; 3
1; matematica; Domanda 392; A; B; C; D; 4
1; matematica; Domanda 393; A; B; C; D; 1
1; matematica; Domanda 394; A; B; C; D; 2
1; matematica; Domanda 395; A; B; C; D; 3
1; matematica; Domanda 396; A; B; C; D; 4
1; matematica; Domanda 397; A; B; C; D; 1
1; matematica; Domanda 398; A; B; C; D; 2
1; matematica; Domanda 399; A; B; C; D; 3
1; matematica; Domanda 400; A; B; C; D; 4
1; matematica; Domanda 401; A; B; C; D; 1
1; matematica; Domanda 402; A; B; C; D; 2
1; matematica; Domanda 403; A; B; C; D; 3
1; matematica; Domanda 404; A; B; C; D; 4
1; matematica; Domanda 405; A; B; C; D; 1
1; matematica; Domanda 406; A; B; C; D; 2
1; matematica; Domanda 407; A; B; C; D; 3
1; matematica; Domanda 408; A; B; C; D; 4
1; matematica; Domanda 409; A; B; C; D; 1
1; matematica; Domanda 410; A; B; C; D; 2
1; matematica; Domanda 411; A; B; C; D; 3
1; matematica; Domanda 412; A; B; C; D; 4
1; matematica; Domanda 413; A; B; C; D; 1
1; matematica; Domanda 414; A; B; C; D; 2
1; matematica; Domanda 415; A; B; C; D; 3
1; matematica; Domanda 416; A; B; C; D; 4
1; matematica; Domanda 417; A; B; C; D; 1
1; matematica; Domanda 418; A; B; C; D; 2
1; matematica; Domanda 419; A; B; C; D; 3
1; matematica; Domanda 420; A; B; C; D; 4
1; matematica; Domanda 421; A; B; C; D; 1
1; matematica; Domanda 422; A; B; C; D; 2
1; matematica; Domanda 423; A; B; C; D; 3
1; matematica; Domanda 424; A; B; C; D; 4
1; matematica; Domanda 425; A; B; C; D; 1
1; matematica; Domanda 426; A; B; C; D; 2
1; matematica; Domanda 427; A; B; C; D; 3
1; matematica; Domanda 428; A; B; C; D; 4
1; matematica; Domanda 429; A; B; C; D; 1
1; matematica; Domanda 430; A; B; C; D; 2
1; matematica; Domanda 431; A; B; C; D; 3
1; matematica; Domanda 432; A; B; C; D; 4
1; matematica; Domanda 433; A; B; C; D; 1
1; matematica; Domanda 434; A; B; C; D; 2
1; matematica; Domanda 435; A; B; C; D; 3
1; matematica; Domanda 436; A; B; C; D; 4
1; matematica; Domanda 437; A; B; C; D; 1
1; matematica; Domanda 438; A; B; C; D; 2
1; matematica; Domanda 439; A; B; C; D; 3
1; matematica; Domanda 440; A; B; C; D; 4
1; matematica; Domanda 441; A; B; C; D; 1
1; matematica; Domanda 442; A; B; C; D; 2
1; matematica; Domanda 443; A; B; C; D; 3
1; matematica; Domanda 444; A; B; C; D; 4
1; matematica; Domanda 445; A; B; C; D; 1
1; matematica; Domanda 446; A; B; C; D; 2
1; matematica; Domanda 447; A; B; C; D; 3
1; matematica; Domanda 448; A; B; C; D; 4
1; matematica; Domanda 449; A; B; C; D; 1
1; matematica; Domanda 450; A; B; C; D; 2
1; matematica; Domanda 451; A; B; C; D; 3
1; matematica; Domanda 452; A; B; C; D; 4
1; matematica; Domanda 453; A; B; C; D; 1
1; matematica; Domanda 454; A; B; C; D; 2
1; matematica; Domanda 455; A; B; C; D; 3
1; matematica; Domanda 456; A; B; C; D; 4
1; matematica; Domanda 457; A; B; C; D; 1
1; matematica; Domanda 458; A; B; C; D; 2
1; matematica; Domanda 459; A; B; C; D; 3
1; matematica; Domanda 460; A; B; C; D; 4
1; matematica; Domanda 461; A; B; C; D; 1
1; matematica; Domanda 462; A; B; C; D; 2
1; matematica; Domanda 463; A; B; C; D; 3
1; matematica; Domanda 464; A; B; C; D; 4
1; matematica; Domanda 465; A; B; C; D; 1
1; matematica; Domanda 466; A; B; C; D; 2
1; matematica; Domanda 467; A; B; C; D; 3
1; matematica; Domanda 468; A; B; C; D; 4
1; matematica; Domanda 469; A; B; C; D; 1
1; matematica; Domanda 470; A; B; C; D; 2
1; matematica; Domanda 471; A; B; C; D; 3
1; matematica; Domanda 472; A; B; C; D; 4
1; matematica; Domanda 473; A; B; C; D; 1
1; matematica; Domanda 474; A; B; C; D; 2
1; matematica; Domanda 475; A; B; C; D; 3
1; matematica; Domanda 476; A; B; C; D; 4
1; matematica; Domanda 477; A; B; C; D; 1
1; matematica; Domanda 478; A; B; C; D; 2
1; matematica; Domanda 479; A; B; C; D; 3
1; matematica; Domanda 480; A; B; C; D; 4
1; matematica; Domanda 481; A; B; C; D; 1
1; matematica; Domanda 482; A; B; C; D; 2
1; matematica; Domanda 483; A; B; C; D; 3
1; matematica; Domanda 484; A; B; C; D; 4
1; matematica; Domanda 485; A; B; C; D; 1
1; matematica; Domanda 486; A; B; C; D; 2
1; matematica; Domanda 487; A; B; C; D; 3
1; matematica; Domanda 488; A; B; C; D; 4
1; matematica; Domanda 489; A; B; C; D; 1
1; matematica; Domanda 490; A; B; C; D; 2
1; matematica; Domanda 491; A; B; C; D; 3
1; matematica; Domanda 492; A; B; C; D; 4
1; matematica; Domanda 493; A; B; C; D; 1
1; matematica; Domanda 494; A; B; C; D; 2
1; matematica; Domanda 495; A; B; C; D; 3
1; matematica; Domanda 496; A; B; C; D; 4
1; matematica; Domanda 497; A; B; C; D; 1
1; matematica; Domanda 498; A; B; C; D; 2
1; matematica; Domanda 499; A; B; C; D; 3
1; matematica; Domanda 500; A; B; C; D; 4
1; matematica; Domanda 501; A; B; C; D; 1
1; matematica; Domanda 502; A; B; C; D; 2
1; matematica; Domanda 503; A; B; C; D; 3
1; matematica; Domanda 504; A; B; C; D; 4
1; matematica; Domanda 505; A; B; C; D; 1
1; matematica; Domanda 506; A; B; C; D; 2
1; matematica; Domanda 507; A; B; C; D; 3
1; matematica; Domanda 508; A; B; C; D; 4
1; matematica; Domanda 509; A; B; C; D; 1
1; matematica; Domanda 510; A; B; C; D; 2
1; matematica; Domanda 511; A; B; C; D; 3
1; matematica; Domanda 512; A; B; C; D; 4
1; matematica; Domanda 513; A; B; C; D; 1
1; matematica; Domanda 514; A; B; C; D; 2
1; matematica; Domanda 515; A; B; C; D; 3
1; matematica; Domanda 516; A; B; C; D; 4
1; matematica; Domanda 517; A; B; C; D; 1
1; matematica; Domanda 518; A; B; C; D; 2
1; matematica; Domanda 519; A; B; C; D; 3
1; matematica; Domanda 520; A; B; C; D; 4
1; matematica; Domanda 521; A; B; C; D; 1
1; matematica; Domanda 522; A; B; C; D; 2
1; matematica; Domanda 523; A; B; C; D; 3
1; matematica; Domanda 524; A; B; C; D; 4
1; matematica; Domanda 525; A; B; C; D; 1
1; matematica; Domanda 526; A; B; C; D; 2
1; matematica; Domanda 527; A; B; C; D; 3
1; matematica; Domanda 528; A; B; C; D; 4
1; matematica; Domanda 529; A; B; C; D; 1
1; matematica; Domanda 530; A; B; C; D; 2
1; matematica; Domanda 531; A; B; C; D; 3
1; matematica; Domanda 532; A; B; C; D; 4
1; matematica; Domanda 533; A; B; C; D; 1
1; matematica; Domanda 534; A; B; C; D; 2
1; matematica; Domanda 535; A; B; C; D; 3
1; matematica; Domanda 536; A; B; C; D; 4
1; matematica; Domanda 537; A; B; C; D; 1
1; matematica; Domanda 538; A; B; C; D; 2
1; matematica; Domanda 539; A; B; C; D; 3
1; matematica; Domanda 540; A; B; C; D; 4
1; matematica; Domanda 541; A; B; C; D; 1
1; matematica; Domanda 542; A; B; C; D; 2
1; matematica; Domanda 543; A; B; C; D; 3
1; matematica; Domanda 544; A; B; C; D; 4
1; matematica; Domanda 545; A; B; C; D; 1
1; matematica; Domanda 546; A; B; C; D; 2
1; matematica; Domanda 547; A; B; C; D; 3
1; matematica; Domanda 548; A; B; C; D; 4
1; matematica; Domanda 549; A; B; C; D; 1
1; matematica; Domanda 550; A; B; C; D; 2
1; matematica; Domanda 551; A; B; C; D; 3
1; matematica; Domanda 552; A; B; C; D; 4
1; matematica; Domanda 553; A; B; C; D; 1
1; matematica; Domanda 554; A; B; C; D; 2
1; matematica; Domanda 555; A; B; C; D; 3
1; matematica; Domanda 556; A; B; C; D; 4
1; matematica; Domanda 557; A; B; C; D; 1
1; matematica; Domanda 558; A; B; C; D; 2
1; matematica; Domanda 559; A; B; C; D; 3
1; matematica; Domanda 560; A; B; C; D; 4
1; matematica; Domanda 561; A; B; C; D; 1
1; matematica; Domanda 562; A; B; C; D; 2
1; matematica; Domanda 563; A; B; C; D; 3
1; matematica; Domanda 564; A; B; C; D; 4
1; matematica; Domanda 565; A; B; C; D; 1
1; matematica; Domanda 566; A; B; C; D; 2
1; matematica; Domanda 567; A; B; C; D; 3
1; matematica; Domanda 568; A; B; C; D; 4
1; matematica; Domanda 569; A; B; C; D; 1
1; matematica; Domanda 570; A; B; C; D; 2
1; matematica; Domanda 571; A; B; C; D; 3
1; matematica; Domanda 572; A; B; C; D; 4
1; matematica; Domanda 573; A; B; C; D; 1
1; matematica; Domanda 574; A; B; C; D; 2
1; matematica; Domanda 575; A; B; C; D; 3
1; matematica; Domanda 576; A; B; C; D; 4
1; matematica; Domanda 577; A; B; C; D; 1
1; matematica; Domanda 578; A; B; C; D; 2
1; matematica; Domanda 579; A; B; C; D; 3
1; matematica; Domanda 580; A; B; C; D; 4
1; matematica; Domanda 581; A; B; C; D; 1
1; matematica; Domanda 582; A; B; C; D; 2
